Transaction_ID,Customer_ID,Brand,Age_Group,Gender,City_Tier,City,Sales_Channel,Season,Product_Category,Unit_Price_INR,Quantity,Subtotal_INR,Discount_Pct,Final_Amount_INR,Rating,Review_Count,Payment_Method,Purchase_Frequency,Repeat_Purchase
TXN55994083,CUST670872,Zudio,25-34,Female,Tier 2,Indore,Online,Festive,Trousers,1230,1,1230,30,861,4.0,10,UPI,One-time,0
TXN57616149,CUST614993,Westside,25-34,Female,Tier 1,Pune,Offline,Festive,Accessories,680,2,1360,20,1088,3.6,9,UPI,Regular,1
TXN32542880,CUST152757,Zudio,25-34,Female,Tier 2,Vadodara,Offline,Festive,Jeans,1520,1,1520,10,1368,3.6,8,Cash,Occasional,0
TXN05736648,CUST518394,Zudio,18-24,Male,Tier 2,Patna,Offline,Festive,Trousers,1210,1,1210,15,1028,3.7,11,Cash,Regular,1
TXN52369596,CUST897271,Westside,25-34,Male,Tier 1,Hyderabad,Offline,Winter,Jeans,1960,2,3920,20,3136,4.6,7,UPI,Regular,1
TXN11498784,CUST365885,Zudio,18-24,Female,Tier 2,Bhopal,Online,Summer,Trousers,1180,2,2360,30,1652,3.8,17,Card,One-time,0
TXN15448181,CUST985533,Westside,18-24,Male,Tier 2,Indore,Offline,Winter,T-Shirts,880,1,880,10,792,3.9,5,Card,Occasional,0
TXN33149848,CUST045968,Westside,25-34,Female,Tier 3,Mysuru,Offline,Monsoon,Shirts,1200,1,1200,5,1140,3.8,6,Cash,Frequent,1
TXN60952394,CUST936878,Zudio,18-24,Male,Tier 1,Mumbai,Offline,Festive,Accessories,610,1,610,10,549,3.5,11,Card,Occasional,0
TXN39243244,CUST461899,Westside,25-34,Male,Tier 1,Chennai,Offline,Summer,Accessories,510,1,510,25,382,3.3,8,Card,Frequent,1
TXN35619047,CUST671059,Westside,18-24,Female,Tier 2,Surat,Offline,Festive,Trousers,1770,1,1770,20,1416,4.2,7,UPI,One-time,0
TXN99176514,CUST436871,Westside,45-54,Female,Tier 1,Pune,Offline,Summer,Shirts,1210,1,1210,15,1028,4.4,5,Cash,One-time,0
TXN73575775,CUST430895,Zudio,18-24,Male,Tier 1,Mumbai,Offline,Summer,T-Shirts,590,1,590,25,442,4.2,3,Cash,Regular,1
TXN83805407,CUST756359,Westside,25-34,Female,Tier 2,Bhopal,Online,Winter,Dresses,2050,1,2050,20,1640,3.8,14,UPI,Regular,1
TXN03582422,CUST170131,Zudio,18-24,Female,Tier 1,Ahmedabad,Offline,Winter,Trousers,1210,3,3630,15,3086,3.6,8,Cash,Occasional,0
TXN54674246,CUST538400,Zudio,18-24,Female,Tier 2,Lucknow,Offline,Summer,Dresses,1630,3,4890,5,4646,4.7,6,Card,Occasional,1
TXN08142214,CUST249134,Westside,25-34,Female,Tier 1,Chennai,Offline,Festive,Kids Wear,1170,2,2340,50,1170,3.8,11,Wallet,Regular,1
TXN09342745,CUST039249,Zudio,45-54,Male,Tier 3,Dehradun,Offline,Festive,Footwear,1110,1,1110,25,832,3.9,10,UPI,One-time,0
TXN35077357,CUST644154,Zudio,35-44,Male,Tier 3,Ranchi,Offline,Monsoon,Shirts,790,1,790,30,553,4.4,5,Cash,Occasional,1
TXN24243644,CUST524879,Westside,35-44,Female,Tier 1,Bengaluru,Offline,Monsoon,Trousers,1680,1,1680,10,1512,4.2,6,UPI,Occasional,1
TXN71858036,CUST694693,Zudio,45-54,Male,Tier 3,Mysuru,Offline,Winter,Trousers,1200,1,1200,15,1020,3.0,8,Card,One-time,0
TXN38576887,CUST141561,Westside,45-54,Male,Tier 1,Bengaluru,Offline,Festive,Trousers,1680,1,1680,40,1008,4.2,6,Card,Occasional,0
TXN45033450,CUST408811,Zudio,45-54,Male,Tier 2,Nagpur,Offline,Summer,Shirts,790,1,790,10,711,4.2,9,UPI,One-time,0
TXN89334217,CUST879804,Zudio,25-34,Female,Tier 1,Hyderabad,Offline,Summer,Shirts,930,1,930,10,837,2.7,6,Wallet,One-time,0
TXN36227908,CUST445106,Zudio,35-44,Female,Tier 1,Pune,Online,Summer,Footwear,1150,1,1150,15,978,4.5,23,UPI,One-time,0
TXN14182213,CUST342544,Westside,18-24,Male,Tier 3,Ranchi,Offline,Monsoon,Footwear,1600,1,1600,25,1200,3.4,3,UPI,One-time,0
TXN15685477,CUST947429,Zudio,45-54,Male,Tier 2,Vadodara,Online,Summer,Dresses,1620,1,1620,0,1620,4.1,15,Card,Occasional,1
TXN79980593,CUST800666,Zudio,35-44,Female,Tier 2,Indore,Online,Monsoon,T-Shirts,610,1,610,20,488,3.3,22,Card,Occasional,0
TXN30469502,CUST963447,Zudio,45-54,Male,Tier 1,Mumbai,Online,Festive,Shirts,1010,1,1010,25,758,3.1,13,Card,One-time,0
TXN54296129,CUST514213,Westside,18-24,Male,Tier 3,Jodhpur,Offline,Monsoon,Jeans,1970,1,1970,10,1773,4.0,8,UPI,Regular,1
TXN73638173,CUST191741,Westside,45-54,Female,Tier 2,Nagpur,Online,Monsoon,Jeans,1840,1,1840,25,1380,3.5,13,Card,Occasional,1
